nodes,500_train,1000_train,1500_train,2000_train,500_test,1000_test,1500_test,2000_test
1,0.6530944625407166,0.741042345276873,0.757328990228013,0.7703583061889251,0.6428571428571429,0.6948051948051948,0.6883116883116883,0.7012987012987013
2,0.6530944625407166,0.7361563517915309,0.7671009771986971,0.7736156351791531,0.6428571428571429,0.6948051948051948,0.7142857142857143,0.7142857142857143
3,0.6530944625407166,0.749185667752443,0.7736156351791531,0.7801302931596091,0.6428571428571429,0.7077922077922078,0.7272727272727273,0.7532467532467533
4,0.752442996742671,0.7752442996742671,0.7736156351791531,0.7671009771986971,0.7467532467532467,0.7597402597402597,0.7597402597402597,0.7662337662337663
5,0.6530944625407166,0.742671009771987,0.7785016286644951,0.7752442996742671,0.6428571428571429,0.7077922077922078,0.7402597402597403,0.7597402597402597
6,0.757328990228013,0.7736156351791531,0.7801302931596091,0.7752442996742671,0.7532467532467533,0.7532467532467533,0.7532467532467533,0.7597402597402597
